# AFGL atmospheric constituent profile. U.S. standard atmosphere 1976. ( AFGL-TR-86-0110)       
#     z(km)      p(mb)        T(K)    air(cm-3)    o3(cm-3)     o2(cm-3)    h2o(cm-3)    co2(cm-3)     no2(cm-3)
  35.000 5.746000e+00 2.365000e+02 1.759731e+17 1.380096e+12 3.680490e+16 8.628900e+11 5.811300e+13 1.282008e+09
  30.000 1.197000e+01 2.265000e+02 3.827699e+17 2.509799e+12 8.004700e+16 1.809675e+12 1.263900e+14 2.359280e+09
  25.000 2.549000e+01 2.216000e+02 8.331283e+17 4.266877e+12 1.742433e+17 3.689123e+12 2.751210e+14 3.118038e+09
  20.000 5.529000e+01 2.167000e+02 1.847990e+18 4.768571e+12 3.864410e+17 7.211100e+12 6.101700e+14 2.570110e+09
  15.000 1.211000e+02 2.167000e+02 4.047595e+18 2.634525e+12 8.464500e+17 2.025000e+13 1.336500e+15 6.925500e+08
  10.000 2.650000e+02 2.233000e+02 8.595457e+18 1.129443e+12 1.797818e+18 6.017959e+14 2.838660e+15 2.047276e+08
   9.000 3.080000e+02 2.297000e+02 9.711841e+18 8.910379e+11 2.031271e+18 1.538518e+15 3.207270e+15 2.254808e+08
   8.000 3.565000e+02 2.362000e+02 1.093179e+19 6.526804e+11 2.286460e+18 4.011698e+15 3.610200e+15 2.516200e+08
   7.000 4.111000e+02 2.427000e+02 1.226845e+19 6.151052e+11 2.566520e+18 7.024160e+15 4.052400e+15 2.824400e+08
   6.500 4.416500e+02 2.459500e+02 1.299637e+19 5.898414e+11 2.718045e+18 9.864950e+15 4.291650e+15 2.991150e+08
   6.000 4.722000e+02 2.492000e+02 1.372429e+19 5.645776e+11 2.869570e+18 1.270574e+16 4.530900e+15 3.157900e+08
   5.500 5.063500e+02 2.524500e+02 1.451718e+19 5.709176e+11 3.035725e+18 1.705389e+16 4.793250e+15 3.340750e+08
   5.000 5.405000e+02 2.557000e+02 1.531006e+19 5.772576e+11 3.201880e+18 2.140204e+16 5.055600e+15 3.523600e+08
   4.900 5.481100e+02 2.563500e+02 1.548232e+19 5.772463e+11 3.237828e+18 2.293907e+16 5.112360e+15 3.563160e+08
